platform,title,purchase_count,total_amount_krw,first_date,last_date
카카오페이지,패왕의 별,39,3900,2021-02-14,2021-02-14
네이버 시리즈,심해의 마법사,53,3900,2025-09-21,2025-09-24
카카오페이지,던전에서 만남을 추구하면 안 되는 걸까,2,3800,2020-02-18,2020-02-18
카카오페이지,나 빼고 다 회귀자,37,3700,2022-06-03,2022-06-06
문피아,업어 키운 걸그룹,36,3600,2020-10-19,2020-10-21
카카오페이지,로그인 무림,33,3300,2021-05-07,2021-05-10
네이버 시리즈,별을 품은 소드마스터,37,3200,2021-11-21,2023-10-09
네이버 시리즈,현계지문,47,3000,2021-06-26,2021-07-19
카카오페이지,내 성장속도가 이상하다,29,2900,2021-02-09,2021-02-10
네이버 시리즈,환생좌,40,2800,2021-09-26,2021-09-26
카카오페이지,아포칼립스의 고인물,27,2700,2021-05-14,2021-05-15
카카오페이지,전왕전기,25,2500,2021-08-17,2021-08-17
카카오페이지,혼세록 : 남천제,1,2500,2021-01-27,2021-01-27
문피아,방랑기사로 살아가는 법,24,2400,2020-12-18,2020-12-18
카카오페이지,칼든 자들의 도시,23,2300,2022-08-06,2022-08-06
문피아,킬 더 히어로,23,2300,2018-08-24,2018-08-25
카카오페이지,이계의 후예,23,2300,2021-06-14,2021-06-14
네이버 시리즈,괴력 난신,28,2100,2022-01-12,2022-01-13
문피아,퍼펙트 센터,21,2100,2018-12-17,2018-12-21
문피아,나는 마법사다.,21,2100,2021-06-06,2021-06-06
네이버 시리즈,멸망 이후의 세계,24,2000,2022-02-10,2022-02-26
문피아,BJ대마도사,20,2000,2018-11-28,2018-12-05
문피아,로만의 검공,20,2000,2019-06-16,2019-06-19
카카오페이지,걸그룹 소설 아닌데요?,20,2000,2022-06-24,2022-06-24
문피아,양학하는 기갑 헌터,20,2000,2019-11-22,2019-12-19
네이버 시리즈,언페어,20,2000,2021-07-09,2021-07-09
문피아,절대자의 현대생활,20,1900,2020-01-23,2020-02-11
카카오페이지,열일하는 과금 기사,19,1900,2021-11-07,2021-11-07
카카오페이지,2레벨로 회귀한 무신,19,1900,2021-11-08,2021-11-08
네이버 시리즈,선협에서 하남자로 살아남기,89,1900,2026-04-12,2026-04-26
네이버 시리즈,반강제적 제국주의자,21,1900,2026-02-02,2026-02-02
문피아,100년 수련한 축구선수,19,1900,2018-11-24,2018-11-25
카카오페이지,질풍광룡,18,1800,2020-05-31,2020-06-02
카카오페이지,주인공의 여동생이다,18,1800,2019-10-17,2019-10-18
네이버 시리즈,짜장 한 그릇에 제갈세가 데릴사위,21,1700,2022-10-28,2022-10-30
카카오페이지,중간 보스의 소꿉친구가 되었다,17,1700,2021-12-04,2021-12-05
카카오페이지,검술명가 막내아들,16,1600,2021-03-19,2021-03-27
카카오페이지,체육고 영재로 회귀했다,16,1600,2021-09-25,2021-09-25
문피아,망겜 스트리머가 너무 강함,16,1600,2020-04-03,2020-04-17
네이버 시리즈,무당패왕,43,1600,2021-09-27,2021-10-01
네이버 시리즈,윤회무사,19,1500,2025-03-01,2025-03-02
카카오페이지,마누라가 회귀했다,15,1500,2020-05-23,2020-05-24
네이버 시리즈,늦깎이 천재 마법사,18,1400,2025-11-09,2025-11-09
네이버 시리즈,만렙 잡캐,14,1400,2021-11-12,2021-11-13
카카오페이지,마도괴협,14,1400,2022-07-11,2022-07-12
카카오페이지,검은 여우 독심호리,13,1300,2021-08-26,2021-08-26
문피아,검은머리 미군 대원수,13,1300,2020-11-20,2020-11-21
네이버 시리즈,암살 가문의 천재 어쌔신,27,1300,2022-05-30,2022-06-01
네이버 시리즈,중세의 방랑 마법사가 되었다,14,1200,2025-10-19,2025-10-20
문피아,알고보니 일대일 천재,11,1100,2019-07-17,2019-07-25
문피아,안 늙는 헌터가 너무 강함,11,1100,2020-10-29,2020-11-07
문피아,화산파 역대급 천재,15,1000,2021-06-14,2021-06-21
문피아,무당패왕,10,1000,2020-02-25,2020-02-25
문피아,망겜의 성기사,9,900,2018-12-30,2018-12-30
카카오페이지,레벨업하기 싫은 천마님,9,900,2021-01-24,2021-04-16
카카오페이지,환생표사,8,800,2019-10-18,2020-01-05
네이버 시리즈,약혼녀가 소천마였다,16,800,2025-12-06,2025-12-08
문피아,악당은 살고 싶다,8,800,2020-12-14,2020-12-21
카카오페이지,엑스트라가 너무 강함,8,800,2020-04-14,2020-07-05
카카오페이지,남궁쟁천기,7,700,2019-09-01,2019-09-18
문피아,즉사기 들고 게임 속으로,7,700,2021-11-02,2021-11-03
네이버 시리즈,마법사의 수기,10,700,2025-10-26,2025-10-27
문피아,한의사는 연금술을 씁니다,7,700,2021-05-25,2021-05-30
카카오페이지,철혈검가 사냥개의 회귀,6,600,2020-05-04,2020-05-04
네이버 시리즈,절대 회귀,8,600,2023-01-29,2023-01-30
네이버 시리즈,나 혼자 총알 무한,6,600,2022-04-03,2022-04-03
네이버 시리즈,북경의 신룡,6,600,2021-12-23,2021-12-23
네이버 시리즈,미친 빌런이 정신을 되찾음,10,600,2022-02-21,2022-02-22
네이버 시리즈,회귀수선전,10,600,2024-01-02,2024-01-02
카카오페이지,하라간,5,500,2026-05-22,2026-05-22
문피아,튜토리얼이 너무 어렵다,5,500,2018-07-23,2018-07-23
네이버 시리즈,마수 사냥꾼이 살아가는 법,25,500,2025-10-22,2025-10-24
카카오페이지,붉은 늑대,4,400,2019-11-08,2020-01-04
문피아,물불 안 가립니다,4,400,2020-11-10,2020-11-11
문피아,내 딸이 천마인데 나는 무림맹주,4,400,2019-05-28,2019-05-28
카카오페이지,종말 생존 게임,4,400,2020-08-21,2020-08-21
카카오페이지,이계 검왕 생존기,4,400,2020-02-22,2020-02-23
카카오페이지,얼어붙은 플레이어의 귀환,4,400,2021-08-15,2021-08-15
네이버 시리즈,홍등가의 소드마스터,10,400,2022-04-28,2022-05-02
네이버 시리즈,명문고 EX급 조연의 리플레이,22,300,2022-01-22,2022-01-23
네이버 시리즈,필드의 고인물,11,300,2022-04-12,2022-04-12
카카오페이지,당신의 머리 위에,3,300,2020-03-10,2020-03-11
카카오페이지,낭선기환담,3,300,2021-04-27,2021-04-27
네이버 시리즈,눈물을 마시는 새,3,300,2026-01-17,2026-01-18
카카오페이지,네크로맨서 학교의 소환천재,2,200,2020-09-30,2020-09-30
네이버 시리즈,신화시대의 괴물사냥꾼,38,200,2025-09-29,2025-10-04
네이버 시리즈,전지적 독자 시점,11,200,2021-07-13,2021-07-18
문피아,빙의한 악역이 너무 강함,2,200,2019-08-06,2019-08-06
네이버 시리즈,강철의 용병,1,100,2022-11-02,2022-11-02
카카오페이지,뽑기로 강해진 10성급 플레이어,1,100,2020-10-14,2020-10-14
카카오페이지,마법명가 막내아들,1,100,2019-10-20,2019-10-20
카카오페이지,게임 속 성기사로 살아가기,1,100,2021-04-18,2021-04-18
문피아,쥐뿔도 없는 회귀,1,100,2018-10-14,2018-10-14
문피아,천마는 조용히 살고싶다,1,100,2021-06-11,2021-06-11
문피아,탑신병자 프로게이머 되다.,10,100,2019-08-19,2019-09-29
문피아,회귀해서 게임한다,1,100,2018-11-04,2018-11-04
카카오페이지,회귀자도 못 깬 탑 등반합니다,1,100,2022-04-16,2022-04-16
네이버 시리즈,용사 파티의 마법사로 산다는 것,3,100,2023-11-04,2023-11-04
네이버 시리즈,칼든 자들의 도시,1,100,2022-08-05,2022-08-05
네이버 시리즈,천재 흑마법사,5,100,2021-10-22,2021-10-22
네이버 시리즈,게임 속 대현자가 되었다,8,100,2021-12-23,2021-12-23
네이버 시리즈,무한 레벨업 in 무림,7,100,2022-01-08,2022-01-08
네이버 시리즈,은둔형 마법사,1,100,2023-10-16,2023-10-16
네이버 시리즈,천재 흑마법사의 종말방송,5,100,2024-10-01,2024-10-01
카카오페이지,백룡선생,1,100,2022-08-14,2022-08-14
카카오페이지,이탄,1,100,2020-03-05,2020-03-05
네이버 시리즈,천재 플레이어의 귀환,4,0,2024-01-25,2024-01-25
네이버 시리즈,죄수부대 블랙 퍼레이드,12,0,2025-06-30,2025-06-30
네이버 시리즈,서울역 드루이드,2,0,2021-07-10,2021-07-10
네이버 시리즈,신의 마력을 가졌다,4,0,2023-12-07,2023-12-07
네이버 시리즈,괴물 천재선수들이 날 너무 좋아함,4,0,2024-02-28,2024-02-28
네이버 시리즈,귀검무영,6,0,2022-07-09,2022-07-09
네이버 시리즈,은퇴한 헌터의 아포칼립스,4,0,2024-04-08,2024-04-08
네이버 시리즈,일홀도,3,0,2022-02-12,2024-05-23
문피아,로또 1등도 출근합니다,5,0,2019-12-09,2019-12-09
문피아,전지적 관중 시점,5,0,2018-12-17,2018-12-17
문피아,이계 내가 가 봤는데 별거 없더라,1,0,2019-09-08,2019-09-08
카카오페이지,환생한 기갑기신 파일럿이 살아가는 법,10,0,2020-08-08,2020-08-12
