platform,title,author,genre,rating,purchase_count,total_amount_krw,first_date,last_date
네이버 시리즈,무당파 둔재의 엘프환생,처량한날,판타지,9.0,79,7200,2025-07-09,2025-07-27
문피아,회귀했는데 힘이 그대로다,맥치,"현대판타지, 퓨전",,68,6800,2020-08-25,2020-09-29
문피아,무무 무적,한중월야,"무협, 판타지",,65,6500,2021-06-11,2021-06-12
카카오페이지,게임 속 전사가 되었다,컵라면.,판타지,9.7,60,6000,2020-02-20,2020-09-29
문피아,게임 속 마법사로 살아가는 법,하늘탑,"판타지, 퓨전",,59,5900,2020-10-24,2021-05-21
카카오페이지,죽지 않는 엑스트라,토이카,판타지,9.0,14,5800,2020-01-31,2020-02-21
네이버 시리즈,시리도록 불꽃처럼,유진성,무협,9.9,84,5700,2021-12-11,2021-12-12
카카오페이지,오버로드,마루야마 쿠가네,판타지,2.0,52,5200,2023-03-12,2023-03-13
카카오페이지,사신,글작소,무협,2.0,16,5000,2020-09-12,2020-09-15
문피아,자고나니 세상이 게임으로 바뀌었다!,basso77,"현대판타지, 게임",,50,5000,2018-03-04,2018-03-04
네이버 시리즈,변방의 외노자,후로스트,현판,9.9,50,5000,2023-01-09,2023-01-09
네이버 시리즈,공작가 네 쌍둥이는 모두 먼치킨,쿠크디스,판타지,9.2,53,5000,2021-06-28,2021-06-30
네이버 시리즈,권속 생성으로 인류 제국 건설,겨울에어컨,판타지,9.4,54,4800,2022-07-03,2022-07-05
네이버 시리즈,걸그룹 소설 아닌데요?,행운요정,현판,9.0,48,4800,2022-06-24,2022-06-25
네이버 시리즈,2회차 기사가 살아가는 법,타자씨,판타지,8.9,52,4600,2022-07-15,2022-07-17
네이버 시리즈,아포칼립스에 집을 숨김,로드워리어,현판,9.6,73,4500,2023-08-17,2023-11-10
카카오페이지,레전드리 포인트,김태형,현판,6.0,1,4500,2020-04-13,2020-04-13
문피아,강철을 먹는 플레이어,지점장,"판타지, 현대판타지",,44,4400,2021-06-09,2021-06-10
카카오페이지,자명공자,문운도,무협,1.0,44,4400,2021-08-18,2021-08-20
문피아,우주천마 3077,녹색여우,"무협, SF",,43,4300,2021-05-31,2021-05-31
문피아,레벨업 프로게이머,추어탕맛집,"현대판타지, 퓨전",,42,4200,2019-01-13,2019-01-13
네이버 시리즈,칼에 취한 밤을 걷다,유진성,무협,9.9,47,4100,2021-07-07,2021-12-10
카카오페이지,불꽃의 기사,도동파,판타지,9.9,41,4100,2021-11-01,2021-11-02
카카오페이지,패왕의 별,강호풍,무협,1.0,39,3900,2021-02-14,2021-02-14
네이버 시리즈,심해의 마법사,상한김밥,판타지,9.8,53,3900,2025-09-21,2025-09-24
카카오페이지,던전에서 만남을 추구하면 안 되는 걸까,오모리 후지노,판타지,9.9,2,3800,2020-02-18,2020-02-18
카카오페이지,나 빼고 다 회귀자,토이카,판타지,2.0,37,3700,2022-06-03,2022-06-06
문피아,업어 키운 걸그룹,burn8,현대판타지,,36,3600,2020-10-19,2020-10-21
카카오페이지,로그인 무림,제로빅,무협,2.1,33,3300,2021-05-07,2021-05-10
네이버 시리즈,별을 품은 소드마스터,Q10,판타지,9.8,37,3200,2021-11-21,2023-10-09
네이버 시리즈,현계지문,왕위,무협,7.9,47,3000,2021-06-26,2021-07-19
